id;industry;goal;time;status;goal_type
1;Consultant PCI;local viral;Cotton;INPROGRESS;SHORTTERM
2;Assurance models;superstructure;Fresh haptic networks;INPROGRESS;LONGTERM
3;plug-and-play transmit help-desk;back-end Metrics Berkshire;Borders;INPROGRESS;SHORTTERM
4;Cambridgeshire;sensor;Tools HDD;CLOSED;SHORTTERM
5;visionary parsing;Producer Rustic connect;Towels lavender National;INPROGRESS;SHORTTERM
6;input;National payment;EXE Pass;INPROGRESS;SHORTTERM
7;Montana invoice Credit;panel magenta;world-class deposit;STARTED;SHORTTERM
8;indigo;Gorgeous;Cuban withdrawal Automotive;INPROGRESS;LONGTERM
9;copy;Pants expedite e-business;frame;CLOSED;SHORTTERM
10;Infrastructure;Pants encoding Shoals;withdrawal;CLOSED;SHORTTERM
