id;email_id;project_name;company_name;company_profile;company_description;project_description;objective;dates;valid_from;valid_to;logo;video_url;description;created_by;created_time;project_status;url_1;url_2;url_3
1;zero JSON;hardware;green card;e-business Tuna Unbranded;Sleek software Court;Bedfordshire back-end;Consultant Dynamic multi-byte;2021-08-12T08:41:25;2021-08-12T13:10:11;2021-08-12T09:57:29;connecting Intelligent synthesizing;mission-critical e-commerce IB;Borders open-source;innovate models;2021-08-12T08:32:11;INPROGRESS;Lempira Stand-alone bypass;Directives Home Regional;Outdoors reciprocal
2;Guyana systemic;Spurs Refined;Fantastic teal;extensible Account Orchestrator;monitor;e-commerce program;Locks Pizza;2021-08-11T21:57:25;2021-08-11T22:26:13;2021-08-11T21:13:23;Tasty;Bike grow;Manager Fresh;alliance JSON;2021-08-12T06:23:49;INPROGRESS;Tasty Cheese;Dirham;Clothing Liaison
3;orchid;granular orchestration Mandatory;Dominica withdrawal;azure;Concrete;Ergonomic EXE Tala;JBOD Metal Savings;2021-08-11T20:57:08;2021-08-11T16:17:49;2021-08-11T20:24:56;Fantastic;up Mexican program;Infrastructure bandwidth;e-services Incredible South;2021-08-11T20:42:26;STARTED;Incredible IB;Outdoors;green deposit circuit
4;Rubber;matrix Rustic navigating;Soft Accounts Product;circuit redundant deposit;Mississippi application;Forward;channels;2021-08-12T03:08:15;2021-08-12T13:57:15;2021-08-11T23:37:19;capacitor;Central;Human virtual Grenadines;drive gold;2021-08-11T20:47:26;COMPLETED;methodology Car;Directives bifurcated enable;Forint program Creative
5;Singapore RSS hack;Agent California payment;Corporate bottom-line;Antillian;mindshare;GB Montana Metal;Profound aggregate;2021-08-12T07:21:50;2021-08-12T12:03:44;2021-08-12T10:33:06;navigate generate;Montana;convergence Generic Grenada;index unleash;2021-08-12T10:57:14;STARTED;Georgia transmitting;1080p;program strategize
6;Forward;Beauty Shoes;set Frozen Marketing;Representative;stable primary connect;Connecticut;Organized Sports;2021-08-11T18:53:40;2021-08-12T06:54:45;2021-08-11T21:10:02;Security;transmitting Director Peru;Towels Berkshire Practical;Car SSL;2021-08-11T17:17:52;COMPLETED;Wooden Metal;Berkshire synthesize;Cheese Dinar Utah
7;17(E.U.A.-17) ADP niches;Legacy;Customer;cutting-edge Movies;Points;mindshare;interface Granite;2021-08-12T15:05:43;2021-08-12T00:58:23;2021-08-11T19:36:56;XSS Baby;Plastic;Facilitator JSON;Sleek Leu utilisation;2021-08-11T18:47:41;INPROGRESS;Central navigating;multi-byte Berkshire;cross-media
8;Small hacking;experiences Borders transmitting;Tools Auto;Director;compelling Dakota Account;Upgradable Washington;Mouse Fresh;2021-08-11T18:27:44;2021-08-12T11:14:05;2021-08-12T08:42:16;Creative bus;plug-and-play Identity;generate black generating;compress Human bypassing;2021-08-12T10:42:46;INPROGRESS;navigate;Chair optimizing Distributed;Accountability
9;Afghani;static;Grocery optical;function;SAS Belarus;Baby;synergistic Specialist;2021-08-12T00:13:53;2021-08-11T18:15:44;2021-08-12T00:21:02;Mississippi Dinar PCI;Health Dobra Tools;Avon architectures;Account;2021-08-12T11:30:55;STARTED;systems;alarm matrix;architecture reboot Accounts
10;Engineer Spurs;New;Small;functionalities;Wyoming Pizza Implementation;Circles teal;Decentralized connecting Frozen;2021-08-11T23:32:21;2021-08-11T23:58:51;2021-08-12T02:52:23;Dynamic;Small;aggregate Island Consultant;Maine;2021-08-12T13:40:56;STARTED;Technician services;Dynamic;drive composite Movies
